Filename,Dimensions,Voxel Size (mm),Orientation,Compatible
IXI238-IOP-0883-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI239-HH-2296-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI240-Guys-0834-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI241-Guys-0833-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI242-HH-1722-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI244-Guys-0841-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI246-Guys-0840-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI247-Guys-0838-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI248-HH-1972-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI249-Guys-1072-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI250-Guys-0836-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI251-Guys-1055-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI252-HH-1693-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI253-HH-1694-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI254-HH-1705-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI255-HH-1882-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI256-HH-1723-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI257-HH-1724-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI258-HH-1769-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI259-HH-1804-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI260-HH-1805-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI261-HH-1704-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI262-HH-1861-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI263-HH-1684-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI264-Guys-0854-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI265-Guys-0845-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI266-Guys-0853-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI267-HH-1772-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI268-Guys-0858-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI269-Guys-0839-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI270-Guys-0847-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI274-HH-2294-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI275-HH-1803-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI276-HH-1840-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI277-HH-1770-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI278-HH-1771-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI279-Guys-1044-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI280-HH-1860-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI282-HH-2025-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI284-HH-2354-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI285-Guys-0857-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI286-Guys-0859-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI287-Guys-0863-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI288-Guys-0879-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI289-Guys-0864-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI290-IOP-0874-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI291-IOP-0882-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI292-IOP-0877-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI293-IOP-0876-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI294-IOP-0868-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI295-HH-1814-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI296-HH-1970-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI297-Guys-0886-T1.nii.gz,"(256, 256, 150)","[0.98, 0.98, 1.2]","('P', 'S', 'R')",✅ SIM
IXI298-Guys-0861-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI299-Guys-0893-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI300-Guys-0880-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI302-HH-1883-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI303-IOP-0968-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI304-Guys-0862-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI305-IOP-0871-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI306-IOP-0867-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI307-IOP-0872-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI308-Guys-0884-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI309-IOP-0897-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI310-IOP-0890-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI311-Guys-0885-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI312-Guys-0887-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI313-HH-2241-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI314-IOP-0889-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI315-IOP-0888-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI316-HH-1862-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI317-Guys-0896-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI318-Guys-0895-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI319-Guys-0901-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI320-Guys-0902-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI321-Guys-0903-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI322-IOP-0891-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI324-Guys-0922-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI325-Guys-0911-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI326-Guys-0907-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI327-HH-1999-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI328-HH-2295-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI329-HH-1908-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI330-Guys-0881-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI331-IOP-0892-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI332-IOP-1134-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI333-IOP-0926-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI334-HH-1907-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI335-HH-1906-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI336-Guys-0904-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI337-IOP-0929-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI338-HH-1971-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI340-IOP-0915-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI341-Guys-0906-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI342-Guys-0909-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI344-Guys-0905-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI345-IOP-0928-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI347-IOP-0927-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI348-Guys-0910-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI350-Guys-0908-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI351-Guys-0914-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI353-HH-1996-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI354-HH-2024-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI356-HH-2049-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI357-HH-2076-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI358-Guys-0919-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI359-Guys-0918-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI360-Guys-0912-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI361-Guys-0913-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI362-HH-2051-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI363-HH-2050-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI364-Guys-0920-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI365-Guys-0923-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI367-Guys-0917-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI368-Guys-0916-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI369-Guys-0924-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI370-Guys-0921-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI371-IOP-0970-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI372-IOP-0971-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI373-IOP-0967-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI375-Guys-0925-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI376-Guys-0938-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI377-Guys-0937-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI378-IOP-0972-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI379-Guys-0943-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI380-Guys-0944-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI381-Guys-1024-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI382-IOP-1135-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI383-HH-2099-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI384-HH-2100-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI385-HH-2078-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI386-HH-2077-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI387-HH-2101-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI388-IOP-0973-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI389-Guys-0930-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI390-Guys-0931-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI391-Guys-0934-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI392-Guys-1064-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI393-Guys-0941-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI394-Guys-0940-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI395-IOP-0969-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI396-HH-2115-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI397-Guys-0953-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI398-Guys-0952-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI399-Guys-0966-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI400-Guys-0977-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI401-Guys-0978-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI402-Guys-0961-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI403-Guys-0965-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI404-Guys-0950-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI405-Guys-0948-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI406-Guys-0963-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI407-Guys-0964-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI408-Guys-0962-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI409-Guys-0960-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI410-Guys-0958-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI411-Guys-0959-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI412-Guys-0949-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI413-Guys-0955-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI414-Guys-0957-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI415-Guys-0942-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI416-Guys-1051-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI417-Guys-0939-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI418-Guys-0956-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI419-Guys-1027-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI420-Guys-1028-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI422-Guys-1071-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI423-IOP-0974-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI424-IOP-0991-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI425-IOP-0988-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI426-IOP-1011-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI427-IOP-1012-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI428-Guys-0996-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI429-Guys-0997-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI430-IOP-0990-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI431-Guys-0986-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI432-Guys-0987-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI433-IOP-0989-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI434-IOP-1010-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI435-IOP-1040-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI436-HH-2153-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI437-HH-2152-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI438-HH-2155-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI439-HH-2114-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI440-HH-2127-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI441-HH-2154-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI442-IOP-1041-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI443-HH-2215-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI444-HH-2270-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI445-HH-2269-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI446-HH-2325-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI447-Guys-0979-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI448-HH-2393-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI449-Guys-1082-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI450-Guys-1093-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI451-HH-2212-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI452-HH-2213-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI453-HH-2214-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI454-Guys-1083-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI455-Guys-0981-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI456-Guys-1019-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI457-Guys-0984-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI458-Guys-0993-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI459-Guys-0992-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI460-Guys-0999-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI461-Guys-0998-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI462-IOP-1042-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI463-IOP-1043-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI464-IOP-1029-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
